Prog.,Anno,Mese,Media_NO2,Media_PM10
1,2009,Gennaio,74,102
2,2009,Febbraio,65,77
3,2009,Marzo,65,49
4,2009,Aprile,45,26
5,2009,Maggio,43,26
6,2009,Giugno,41,27
7,2009,Luglio,45,24
8,2009,Agosto,41,25
9,2009,Settembre,46,29
10,2009,Ottobre,43,46
11,2009,Novembre,40,70
12,2009,Dicembre,63,52
13,2010,Gennaio,74,78
14,2010,Febbraio,68,77
15,2010,Marzo,46,50
16,2010,Aprile,41,37
17,2010,Maggio,38,22
18,2010,Giugno,42,26
19,2010,Luglio,48,28
20,2010,Agosto,31,23
21,2010,Settembre,44,26
22,2010,Ottobre,44,46
23,2010,Novembre,56,42
24,2010,Dicembre,60,72
25,2011,Gennaio,52,72
26,2011,Febbraio,57,73
27,2011,Marzo,48,40
28,2011,Aprile,45,31
29,2011,Maggio,44,32
30,2011,Giugno,37,28
31,2011,Luglio,29,25
32,2011,Agosto,37,27
33,2011,Settembre,45,28
34,2011,Ottobre,46,47
35,2011,Novembre,53,63
36,2011,Dicembre,59,77
37,2012,Gennaio,55,67
38,2012,Febbraio,78,85
39,2012,Marzo,50,47
40,2012,Aprile,37,24
41,2012,Maggio,37,22
42,2012,Giugno,37,27
43,2012,Luglio,37,21
44,2012,Agosto,35,26
45,2012,Settembre,45,31
46,2012,Ottobre,48,46
47,2012,Novembre,48,48
48,2012,Dicembre,54,53
49,2013,Gennaio,51,58
50,2013,Febbraio,56,54
51,2013,Marzo,48,38
52,2013,Aprile,42,28
53,2013,Maggio,35,18
54,2013,Giugno,38,24
55,2013,Luglio,39,30
56,2013,Agosto,33,21
57,2013,Settembre,41,26
58,2013,Ottobre,34,51
59,2013,Novembre,40,40
60,2013,Dicembre,41,69
61,2014,Gennaio,39,49
62,2014,Febbraio,41,42
63,2014,Marzo,42,42
64,2014,Aprile,39,26
65,2014,Maggio,36,20
66,2014,Giugno,32,24
67,2014,Luglio,32,20
68,2014,Agosto,27,22
69,2014,Settembre,35,32
70,2014,Ottobre,36,49
71,2014,Novembre,38,42
72,2014,Dicembre,41,44
73,2015,Gennaio,44,61
74,2015,Febbraio,44,57
75,2015,Marzo,41,40
76,2015,Aprile,37,24
77,2015,Maggio,30,24
78,2015,Giugno,29,29
79,2015,Luglio,39,37
80,2015,Agosto,32,25
81,2015,Settembre,33,23
82,2015,Ottobre,35,37
83,2015,Novembre,34,52
84,2015,Dicembre,27,72
